Site,C_bio_As,C_bio_Cd,C_bio_Cu,C_bio_Pb,C_bio_Co,C_bio_Fe,C_bio_Mn,C_bio_Ni,C_bio_Zn,C_bio_CrVI,C_bio_CrIII,C_bio_Hg(II),C_bio_Hg(I),C_bio_Hg(0)
TGW1,2.06154766e-08,6.22538139e-09,1.17438266e-06,2.68436284e-08,3.89577437e-08,5.89171595e-07,5.51448732e-07,3.23365585e-08,8.99506721e-07,3.32899917e-21,1.41248997e-11,4.11976989e-22,8.19543942e-23,1.79499993e-08
TGW2,5.09199428e-08,8.89020060e-15,8.07570876e-07,2.71745744e-08,5.40478523e-08,1.02579738e-06,8.02513331e-07,5.94831845e-08,1.50579887e-06,3.91082587e-19,1.04911499e-12,1.03141121e-22,4.10403006e-23,8.97399786e-09
TGW3,1.83727090e-08,1.33345023e-08,9.66270461e-07,2.00873355e-08,7.44414610e-08,3.70398890e-07,4.00345621e-07,4.76331035e-08,1.09544302e-06,2.55028195e-20,2.71581783e-12,1.14640076e-22,4.32173563e-23,9.47199910e-09
TGW4,2.75756530e-08,3.55615523e-09,9.98395515e-07,2.14385319e-08,9.29860637e-08,3.35589115e-07,4.07628867e-07,8.50158090e-08,1.46750613e-06,7.43552119e-20,1.25615963e-12,3.17778341e-35,2.27626583e-29,4.98499925e-15
TGW5,3.77661609e-09,2.75686432e-08,7.57368850e-07,2.92893125e-08,3.38410276e-08,5.25889245e-07,9.62780654e-07,3.91283200e-08,1.24985129e-06,1.29034586e-19,1.37602040e-11,2.49295834e-22,6.37666516e-23,1.39599987e-08
TGW6,2.01949934e-08,8.89309105e-15,1.37896585e-06,2.92588098e-08,5.24776677e-08,7.19664432e-07,7.37117260e-07,2.04236318e-08,9.29811609e-07,1.26705582e-20,8.53019979e-12,4.12355222e-22,8.20297324e-23,1.79499989e-08
TGW7,1.09988965e-08,2.04546826e-08,1.00082704e-06,1.93672052e-08,5.92803899e-08,8.78586606e-07,4.40462477e-07,5.78713857e-08,9.84553320e-07,3.11450671e-21,1.32182971e-11,3.25355562e-22,7.28385682e-23,1.59499994e-08
TGW8,1.17877048e-08,8.89233716e-15,8.71602261e-07,3.01305476e-08,6.76817541e-08,5.70479371e-07,1.02086689e-06,7.82550826e-08,1.06280782e-06,2.55291488e-20,2.72280212e-12,2.86323385e-22,6.83422540e-23,1.49599986e-08
TGW9,2.61066502e-08,7.99557715e-09,8.26833437e-07,1.72022488e-08,2.35408793e-08,4.75882814e-07,3.91141791e-07,3.73004587e-08,1.32966950e-06,7.50723281e-18,7.99882879e-14,6.22627458e-23,3.18565751e-23,6.97899338e-09
TGW10,5.61635313e-08,1.06730338e-08,1.09781673e-06,2.91181615e-08,9.45881671e-08,1.01657247e-06,7.73416693e-07,2.71878494e-08,7.61147911e-07,3.73861840e-19,1.00202343e-12,1.83065901e-22,5.46563476e-23,1.19599972e-08
TGW11,2.73993492e-08,1.86678149e-08,1.24481059e-06,2.01897614e-08,4.72899423e-08,9.52105517e-07,4.82196925e-07,2.03976473e-08,1.00520583e-06,2.71869657e-19,7.28584166e-13,2.31844342e-22,6.15057504e-23,1.34599968e-08
TGW12,3.57794534e-08,8.89233614e-15,1.01465447e-06,3.05451260e-08,8.12109124e-08,3.70385366e-07,5.71414445e-07,2.38105486e-08,1.33390319e-06,1.14853044e-19,1.22439841e-11,3.17806137e-35,2.27646505e-29,4.98499953e-15
TGW13,2.81457476e-08,8.00185228e-09,8.43707618e-07,2.02258625e-08,5.07225186e-08,1.15203216e-06,9.60832049e-07,4.25129001e-08,9.41897261e-07,7.44229362e-20,1.25892947e-12,4.83772730e-22,8.88606633e-23,1.94399971e-08
TGW14,1.51540501e-08,2.13444531e-08,7.46867500e-07,3.34466750e-08,8.29963943e-08,3.69121069e-07,6.18845227e-07,8.85095759e-08,1.75830263e-06,2.79314668e-21,1.18607251e-11,1.53970505e-22,5.01181456e-23,1.09699996e-08
TGW15,3.76662528e-08,2.84606918e-08,8.26057997e-07,1.76427330e-08,6.26433640e-08,1.06505589e-06,6.33320036e-07,5.78529688e-08,1.29115601e-06,5.14808395e-21,3.46669353e-12,3.89780148e-22,7.97606430e-23,1.74499990e-08
TGW16,2.02266168e-08,1.06451620e-08,8.66295464e-07,1.62131608e-08,5.30496791e-08,1.24683343e-07,7.61953963e-07,3.70209681e-08,1.69793168e-06,1.57576475e-15,1.06092248e-14,6.16075634e-22,1.00268441e-22,2.19398687e-08
TGW17,5.23502045e-08,4.43883597e-09,1.01437001e-06,2.23138672e-08,3.34446238e-08,1.97029514e-07,8.93118087e-07,6.25275046e-08,1.44556857e-06,2.58156133e-16,6.91916196e-14,4.57972643e-23,2.73374746e-23,5.98198575e-09
TGW18,4.87016815e-08,8.87292289e-15,9.56187202e-07,1.87963513e-08,6.32964584e-08,2.43417175e-07,4.80112523e-07,4.55317697e-08,1.26196614e-06,6.61049571e-16,2.80534685e-14,2.86199896e-22,6.83129939e-23,1.49599435e-08
TGW19,4.53944499e-08,3.02343299e-08,9.92787079e-07,2.71077032e-08,6.42419038e-08,7.94610996e-07,6.18783268e-07,9.18175770e-08,1.45169391e-06,4.76264041e-19,8.05787840e-12,3.18157898e-23,2.27898810e-23,4.98499925e-09
TGW20,2.97914278e-08,2.48586420e-08,6.05219494e-07,1.95849508e-08,3.51201177e-08,2.79177060e-07,9.42204195e-07,7.60569835e-08,1.16256678e-06,9.92110631e-17,2.65593201e-14,1.53866205e-22,5.00842710e-23,1.09699739e-08
