Site,frac_As,frac_Cd,frac_Cu,frac_Pb,frac_Co,frac_Fe,frac_Mn,frac_Ni,frac_Zn,frac_CrVI,frac_CrIII,frac_Hg(II),frac_Hg(I),frac_Hg(0)
TGW1,2.57418585e-01,9.99707316e-01,9.05728375e-01,9.11803246e-01,9.98165147e-01,9.67800988e-01,9.99887568e-01,9.98859274e-01,9.93407930e-01,5.58412765e-14,2.36933802e-04,2.29551290e-14,4.56645332e-15,1.00016399e+00
TGW2,4.59629170e-01,9.99347450e-01,8.58212863e-01,8.04367404e-01,9.95324980e-01,8.27901496e-01,9.99775112e-01,9.97448028e-01,9.83507792e-01,8.84186718e-12,2.37191215e-05,1.14939319e-14,4.57348549e-15,1.00005235e+00
TGW3,3.52944450e-01,9.99287599e-01,8.87376992e-01,8.67103315e-01,9.97008022e-01,9.23516876e-01,9.99772202e-01,9.98423872e-01,9.89227409e-01,7.36748119e-13,7.84569595e-05,1.21029752e-14,4.56261553e-15,9.99993842e-01
TGW4,4.05091749e-01,9.99368525e-01,8.73939876e-01,8.38125247e-01,9.96303406e-01,8.84087363e-01,9.99782587e-01,9.97915566e-01,9.87094143e-01,2.57764734e-12,4.35468672e-05,6.37431575e-21,4.56596163e-15,9.99941000e-01
TGW5,3.53680097e-01,9.99674576e-01,8.88021964e-01,8.66963651e-01,9.97125879e-01,9.23613658e-01,9.99908679e-01,9.98452653e-01,9.89289071e-01,7.37340489e-13,7.86297369e-05,1.78593755e-14,4.56819737e-15,1.00008433e+00
TGW6,3.02601781e-01,9.99672365e-01,8.96962948e-01,8.91533146e-01,9.97583534e-01,9.50195237e-01,9.99931414e-01,9.98885793e-01,9.91697928e-01,2.05896570e-13,1.38615747e-04,2.29762039e-14,4.57065112e-15,1.00016397e+00
TGW7,2.57511665e-01,9.99700378e-01,9.06019348e-01,9.12019302e-01,9.98112394e-01,9.67831597e-01,9.99959029e-01,9.98962244e-01,9.93365680e-01,5.58463271e-14,2.37017741e-04,2.03947101e-14,4.56584013e-15,9.99815743e-01
TGW8,3.53253936e-01,9.99587620e-01,8.87665444e-01,8.67090204e-01,9.97121442e-01,9.23515156e-01,9.99758058e-01,9.98432782e-01,9.89834410e-01,7.37508743e-13,7.86587280e-05,1.91445359e-14,4.56959091e-15,1.00027537e+00
TGW9,6.11221948e-01,9.98647586e-01,7.83088896e-01,6.72510557e-01,9.90902870e-01,5.42409289e-01,9.99503721e-01,9.95074509e-01,9.68082318e-01,3.25313422e-10,3.46615914e-06,8.92091727e-15,4.56436457e-15,9.99940201e-01
TGW10,4.57366497e-01,9.99796442e-01,8.57079280e-01,8.04437742e-01,9.95371551e-01,8.27632249e-01,9.99800309e-01,9.97284301e-01,9.83475305e-01,8.83673439e-12,2.36841903e-05,1.53004954e-14,4.56813199e-15,9.99606595e-01
TGW11,4.56168720e-01,9.99261462e-01,8.57071649e-01,8.04484338e-01,9.95284394e-01,8.28272478e-01,9.99694303e-01,9.97614933e-01,9.83837686e-01,8.83576385e-12,2.36789854e-05,1.72243173e-14,4.56942166e-15,9.99978058e-01
TGW12,3.52710085e-01,9.99587505e-01,8.86950364e-01,8.66979468e-01,9.97033139e-01,9.23483155e-01,9.99793299e-01,9.98172212e-01,9.89904547e-01,7.37328186e-13,7.86033545e-05,6.37487330e-21,4.56636124e-15,9.99941055e-01
TGW13,4.05515272e-01,9.99431350e-01,8.74675679e-01,8.38159742e-01,9.96359341e-01,8.83804893e-01,9.99774863e-01,9.98032843e-01,9.86878893e-01,2.57999512e-12,4.36428882e-05,2.48820441e-14,4.57040012e-15,9.99863850e-01
TGW14,2.58032143e-01,9.99720821e-01,9.05790642e-01,9.11861981e-01,9.98158677e-01,9.67859703e-01,9.99981082e-01,9.98966733e-01,9.93585360e-01,5.58629337e-14,2.37214501e-04,1.40386107e-14,4.56963583e-15,1.00021464e+00
TGW15,3.03436092e-01,9.99770740e-01,8.97367277e-01,8.91603480e-01,9.97722552e-01,9.50213600e-01,9.99844908e-01,9.98644336e-01,9.91959810e-01,2.05923358e-13,1.38667741e-04,2.23388571e-14,4.57119639e-15,1.00008437e+00
TGW16,7.21608635e-01,9.97185551e-01,5.80728657e-01,4.47915590e-01,9.76942996e-01,1.42989009e-01,9.99087130e-01,9.87618463e-01,9.22782820e-01,3.56259856e-08,2.39860735e-07,2.80860481e-14,4.57110149e-15,1.00020870e+00
TGW17,6.76220228e-01,9.97939102e-01,6.93898967e-01,5.63833326e-01,9.85445839e-01,3.12616431e-01,9.99346389e-01,9.91821418e-01,9.49862043e-01,3.44208177e-09,9.22554928e-07,7.65539438e-15,4.56968670e-15,9.99938767e-01
TGW18,7.01678842e-01,9.97405262e-01,6.39638913e-01,5.05792725e-01,9.81594815e-01,2.17170115e-01,9.99143258e-01,9.89725764e-01,9.37583481e-01,1.10885734e-08,4.70574311e-07,1.91362790e-14,4.56763448e-15,1.00027169e+00
TGW19,4.04875260e-01,9.99600301e-01,8.73845137e-01,8.38315836e-01,9.96256682e-01,8.84044306e-01,9.99880963e-01,9.97921036e-01,9.86608607e-01,2.57976355e-12,4.36468414e-05,6.38192928e-15,4.57142224e-15,9.99941000e-01
TGW20,6.97491803e-01,9.97985697e-01,7.04426719e-01,5.63611361e-01,9.85537398e-01,3.12465707e-01,9.99318504e-01,9.91952080e-01,9.50107699e-01,3.43931685e-09,9.20723097e-07,1.40291009e-14,4.56654724e-15,1.00021230e+00
TGW21,7.32475605e-01,9.97400851e-01,6.51696937e-01,5.05418626e-01,9.81623039e-01,2.16841024e-01,9.99133835e-01,9.89858837e-01,9.36970060e-01,1.10637414e-08,4.68205872e-07,8.90406857e-15,4.55574746e-15,9.99937374e-01
TGW22,6.45651523e-01,9.98360592e-01,7.40412025e-01,6.19575817e-01,9.88389034e-01,4.24089949e-01,9.99578423e-01,9.93457275e-01,9.59724319e-01,1.06080417e-09,1.79090451e-06,1.78432908e-14,4.56408459e-15,1.00008292e+00
TGW23,5.57300199e-01,9.99027590e-01,8.11026806e-01,7.21460466e-01,9.92653567e-01,6.54966342e-01,9.99704093e-01,9.96053118e-01,9.74010670e-01,9.89530465e-11,6.65893802e-06,2.61503314e-14,4.56836286e-15,1.00001394e+00
TGW24,4.57984131e-01,9.99234148e-01,8.57804624e-01,8.04340575e-01,9.95352860e-01,8.27779695e-01,9.99746730e-01,9.97475832e-01,9.83564712e-01,8.82597143e-12,2.36189348e-05,2.10247179e-14,4.56381396e-15,9.99910519e-01
TGW25,3.03422696e-01,9.99672400e-01,8.97713611e-01,8.91593779e-01,9.97660286e-01,9.50405934e-01,9.99896217e-01,9.98762758e-01,9.91672412e-01,2.05941812e-13,1.38670578e-04,7.65641293e-15,4.57028485e-15,9.99941090e-01
TGW26,4.04965454e-01,9.99529596e-01,8.75337234e-01,8.38401563e-01,9.96286188e-01,8.84348110e-01,9.99633822e-01,9.98000885e-01,9.86966621e-01,2.58036904e-12,4.36716017e-05,2.93622326e-14,4.57245763e-15,9.99897393e-01
TGW27,3.03808981e-01,9.99809541e-01,8.97389599e-01,8.91492196e-01,9.97703907e-01,9.49999360e-01,9.99872306e-01,9.98676855e-01,9.91795415e-01,2.05770026e-13,1.38413278e-04,6.37505687e-21,4.56649274e-15,9.99941090e-01
TGW28,3.51699355e-01,9.99725341e-01,8.87303244e-01,8.67095728e-01,9.97080660e-01,9.23985940e-01,9.99930236e-01,9.98359745e-01,9.89864678e-01,7.38195227e-13,7.88536344e-05,1.72414297e-14,4.57396685e-15,9.99978201e-01
TGW29,7.61816962e-01,9.95277484e-01,4.48211736e-01,3.36325700e-01,9.63565923e-01,5.31363865e-02,9.98378437e-01,9.79832151e-01,8.82835793e-01,3.63286607e-07,6.12945122e-08,6.36745921e-21,4.56111255e-15,9.99926117e-01
TGW30,8.09627752e-01,9.89374202e-01,2.53679712e-01,1.98948217e-01,9.28157279e-01,8.17220249e-03,9.96917738e-01,9.59569845e-01,7.89411518e-01,1.16890149e-05,7.84538380e-09,1.40060509e-14,4.55929845e-15,1.00015482e+00
TGW31,8.43283456e-01,1.65546032e-01,3.97834116e-06,1.70498471e-05,2.52123688e-03,1.70967043e-12,4.94021543e-01,1.61510203e-02,2.16900405e-04,9.99880798e-01,7.16444306e-24,4.40527428e-16,6.89056346e-16,1.43129327e-01
TGW32,4.58810062e-01,9.99347478e-01,8.58860329e-01,8.04459405e-01,9.95309779e-01,8.28045789e-01,9.99754239e-01,9.97460426e-01,9.83572961e-01,8.84366139e-12,2.37256273e-05,1.40535071e-14,4.57449202e-15,1.00021444e+00
TGW33,4.05665209e-01,9.99481090e-01,8.75141811e-01,8.38278708e-01,9.96323536e-01,8.84223719e-01,1.00010074e+00,9.97959543e-01,9.86538320e-01,2.57835182e-12,4.35882919e-05,2.16871358e-14,4.56874209e-15,9.99999997e-01
TGW34,5.14094907e-01,9.99036024e-01,8.39371558e-01,7.65308872e-01,9.94165039e-01,7.51624995e-01,9.99787297e-01,9.96851735e-01,9.79696944e-01,2.97526657e-11,1.26277500e-05,2.48590761e-14,4.56617694e-15,9.99863622e-01
TGW35,5.10195932e-01,9.99178690e-01,8.36753457e-01,7.65436567e-01,9.94201788e-01,7.51472397e-01,9.99761723e-01,9.96686630e-01,9.79719272e-01,2.97944820e-11,1.26655377e-05,7.02290612e-15,4.57282050e-15,1.00003195e+00
TGW36,4.58801386e-01,9.99387508e-01,8.57665159e-01,8.04166328e-01,9.95437375e-01,8.27765434e-01,9.99777075e-01,9.97424466e-01,9.83516505e-01,8.82880844e-12,2.36369378e-05,7.64854546e-15,4.56558346e-15,9.99940912e-01
TGW37,5.12047722e-01,9.99145978e-01,8.38150767e-01,7.65437241e-01,9.94136418e-01,7.51609396e-01,9.99675852e-01,9.96766743e-01,9.79195273e-01,2.97615333e-11,1.26358055e-05,2.48659207e-14,4.56743575e-15,9.99863622e-01
TGW38,4.57880491e-01,9.99261317e-01,8.57754906e-01,8.04362929e-01,9.95381574e-01,8.27916233e-01,9.99784285e-01,9.97582609e-01,9.83793106e-01,8.83136238e-12,2.36585390e-05,1.46786445e-14,4.56968904e-15,1.00033337e+00
TGW39,3.02553039e-01,9.99587016e-01,8.96838633e-01,8.91504153e-01,9.97626398e-01,9.50470836e-01,9.99910687e-01,9.98706457e-01,9.91684539e-01,2.06072750e-13,1.38922008e-04,7.02635886e-15,4.57507033e-15,1.00003227e+00
TGW40,4.06045716e-01,9.99481358e-01,8.74752793e-01,8.38334258e-01,9.96369855e-01,8.83888686e-01,9.99823937e-01,9.98006487e-01,9.86616555e-01,2.57986263e-12,4.36508815e-05,1.59491234e-14,4.57070628e-15,9.99740410e-01
TGW41,3.03490156e-01,9.99720366e-01,8.97876366e-01,8.91447920e-01,9.97675928e-01,9.50234344e-01,9.99985234e-01,9.98700135e-01,9.92014540e-01,2.05815395e-13,1.38450900e-04,6.37532199e-15,4.56668288e-15,9.99941090e-01
TGW42,4.59469445e-01,9.99421967e-01,8.58270906e-01,8.04238507e-01,9.95436242e-01,8.27859870e-01,9.99715180e-01,9.97225222e-01,9.83854701e-01,8.83630380e-12,2.36818590e-05,6.37921442e-21,4.56947541e-15,9.99940912e-01
TGW43,4.04504501e-01,9.99930387e-01,8.73835617e-01,8.38224874e-01,9.96225614e-01,8.84057316e-01,9.99851359e-01,9.98005363e-01,9.86873806e-01,2.57800697e-12,4.35672190e-05,2.16809877e-14,4.56744526e-15,9.99999997e-01
TGW44,7.25729412e-01,9.97051628e-01,6.48917967e-01,5.05710360e-01,9.81632694e-01,2.17034527e-01,9.99129225e-01,9.89647138e-01,9.37715682e-01,1.10813522e-08,4.69890869e-07,1.65603739e-14,4.56278748e-15,9.99860224e-01
TGW45,6.93718478e-01,9.97936888e-01,7.01265231e-01,5.63443085e-01,9.85432242e-01,3.12367670e-01,9.99159279e-01,9.91780256e-01,9.49687975e-01,3.43746552e-09,9.19688657e-07,2.41996795e-14,4.56240818e-15,9.99780407e-01
TGW46,7.32472666e-01,9.96808876e-01,5.82842551e-01,4.47616725e-01,9.76919346e-01,1.42872359e-01,9.99109715e-01,9.87142551e-01,9.22698460e-01,3.55814922e-08,2.39174504e-07,6.37135639e-21,4.56386597e-15,9.99935165e-01
TGW47,7.44741946e-01,9.95889545e-01,5.17932386e-01,3.90623292e-01,9.71011841e-01,8.92941101e-02,9.98797241e-01,9.84422912e-01,9.04899752e-01,1.13808138e-07,1.21145902e-07,1.20987549e-14,4.56106567e-15,9.99984451e-01
TGW48,6.13130941e-01,9.98585901e-01,7.84130081e-01,6.72780295e-01,9.90828377e-01,5.42502684e-01,9.99559406e-01,9.94865118e-01,9.67575530e-01,3.25461418e-10,3.47073848e-06,1.78594660e-14,4.56822446e-15,1.00008348e+00
TGW49,6.49387318e-01,9.98218733e-01,7.44545353e-01,6.19589886e-01,9.88400253e-01,4.24105343e-01,9.99455717e-01,9.93702886e-01,9.59739897e-01,1.06067843e-09,1.79051282e-06,8.91836575e-15,4.56306010e-15,9.99939647e-01
TGW50,5.58194278e-01,9.98933596e-01,8.11810544e-01,7.21526577e-01,9.92664249e-01,6.54943295e-01,9.99720442e-01,9.95938823e-01,9.74262170e-01,9.89510428e-11,6.65927356e-06,2.04030707e-14,4.56771675e-15,9.99815183e-01
TGW51,5.11427310e-01,9.99003785e-01,8.38101473e-01,7.65524854e-01,9.94126004e-01,7.51689309e-01,9.99727246e-01,9.96724222e-01,9.79312557e-01,2.97840015e-11,1.26563181e-05,1.53049945e-14,4.56947765e-15,9.99606456e-01
TGW52,6.10364144e-01,9.98586198e-01,7.83662530e-01,6.72709067e-01,9.90614133e-01,5.42761675e-01,9.99578399e-01,9.95030764e-01,9.67871877e-01,3.25570371e-10,3.47320362e-06,1.97643736e-14,4.56792667e-15,9.99713729e-01
THDW1,5.68552423e-01,9.99040136e-01,8.15601576e-01,7.21235143e-01,9.92618277e-01,6.54891869e-01,9.99720799e-01,9.95625038e-01,9.73874649e-01,9.88953770e-11,6.65121907e-06,1.33896836e-14,4.56654422e-15,1.00008383e+00
THDW2,5.67378270e-01,9.98550235e-01,8.15618955e-01,7.21260521e-01,9.92720180e-01,6.54859963e-01,9.99765655e-01,9.96026006e-01,9.74281593e-01,9.88634050e-11,6.64467501e-06,1.78433557e-14,4.56409706e-15,1.00008383e+00
THDW3,3.63773383e-01,9.99568421e-01,8.85376930e-01,8.61736834e-01,9.96896627e-01,9.17000644e-01,9.99838025e-01,9.98323470e-01,9.89268539e-01,9.49448807e-13,7.01100848e-05,1.46882080e-14,4.57266955e-15,1.00033350e+00
THDW4a,7.00674610e-01,9.97937273e-01,7.04622416e-01,5.63643876e-01,9.85335381e-01,3.12402069e-01,9.99284750e-01,9.91871824e-01,9.49595528e-01,3.43856004e-09,9.20264340e-07,2.67698188e-14,4.56492219e-15,1.00008205e+00
THDW4b,5.14893849e-01,9.99127765e-01,8.38896176e-01,7.65461011e-01,9.94159044e-01,7.51495884e-01,9.99746545e-01,9.96732062e-01,9.79101294e-01,2.97421489e-11,1.26178537e-05,2.35937315e-14,4.56629632e-15,1.00023895e+00
THDW5,6.86006460e-01,9.97938076e-01,6.96397031e-01,5.63595017e-01,9.85322370e-01,3.12564490e-01,9.99266114e-01,9.91697262e-01,9.49652665e-01,3.43988083e-09,9.21209189e-07,2.29611524e-14,4.56766377e-15,1.00016164e+00
THDW6,3.52295970e-01,9.99501945e-01,8.87046195e-01,8.67033589e-01,9.97093016e-01,9.23437959e-01,1.00001335e+00,9.98374988e-01,9.89767126e-01,7.37252568e-13,7.86110395e-05,2.99680476e-14,4.56720094e-15,9.99962394e-01
THDW7,5.11902105e-01,9.98824953e-01,8.37416484e-01,7.65254179e-01,9.94000672e-01,7.51512926e-01,9.99657781e-01,9.96624239e-01,9.79491422e-01,2.97563182e-11,1.26306384e-05,2.36039873e-14,4.56828364e-15,1.00023895e+00
THDW8,5.59195564e-01,9.98965539e-01,8.11822850e-01,7.21497846e-01,9.92599914e-01,6.55027669e-01,9.99717908e-01,9.95969529e-01,9.74052578e-01,9.89384443e-11,6.65693716e-06,2.67885679e-14,4.56811511e-15,1.00008383e+00
THDW9,5.12121302e-01,9.99206134e-01,8.38217522e-01,7.65383736e-01,9.94205997e-01,7.51560526e-01,9.99693075e-01,9.97099088e-01,9.79539660e-01,2.97628452e-11,1.26360102e-05,2.80729069e-14,4.56893428e-15,1.00021430e+00
THDW10,5.69874965e-01,9.98964952e-01,8.14280994e-01,7.21193688e-01,9.92621409e-01,6.54659171e-01,9.99699358e-01,9.95750738e-01,9.73766006e-01,9.88824294e-11,6.64695401e-06,2.16659206e-14,4.56426933e-15,9.99999549e-01
THDW11,7.67081604e-01,9.97179364e-01,5.98504642e-01,4.47324322e-01,9.76962027e-01,1.42730773e-01,9.99087003e-01,9.87209402e-01,9.22948165e-01,3.55367236e-08,2.38513086e-07,1.40075226e-14,4.55953190e-15,1.00020870e+00
TSW1,7.77998191e-01,9.96728543e-01,6.03551000e-01,4.47185062e-01,9.76945507e-01,1.42648019e-01,9.99044982e-01,9.87558118e-01,9.22548678e-01,3.55024935e-08,2.37964111e-07,6.35668162e-21,4.55334311e-15,9.99935165e-01
TSW2,8.06615350e-01,9.93494214e-01,3.91825947e-01,2.85680362e-01,9.54267515e-01,3.00068528e-02,9.98034110e-01,9.74931468e-01,8.56466967e-01,1.15662805e-06,3.08925510e-08,7.63353130e-15,4.55671888e-15,9.99917324e-01
TSW3,7.03244951e-01,9.97934567e-01,7.06015356e-01,5.63155909e-01,9.85428047e-01,3.12146808e-01,9.99317908e-01,9.91912174e-01,9.49548861e-01,3.43228080e-09,9.16599070e-07,6.36079792e-21,4.55627810e-15,9.99938767e-01
TSW4,4.35975906e-01,6.99921663e-03,1.30140409e-08,3.24966769e-08,4.60217985e-05,4.66624949e-16,7.35989381e-02,2.77184821e-04,4.31105189e-07,9.99990854e-01,5.11392127e-31,1.93935249e-19,1.42367637e-17,2.64110697e-03
TSW5,8.00808187e-01,9.93496934e-01,3.89943267e-01,2.85790440e-01,9.54276290e-01,3.00175108e-02,9.98102700e-01,9.75099514e-01,8.56228570e-01,1.15683518e-06,3.09195177e-08,6.36484474e-21,4.55927788e-15,9.99917324e-01
TSW6,7.58588259e-01,9.96731653e-01,5.94786055e-01,4.47359783e-01,9.76759326e-01,1.42760765e-01,9.99061711e-01,9.87224767e-01,9.22626411e-01,3.55462460e-08,2.38632441e-07,1.59055419e-14,4.55822823e-15,9.99734576e-01
