Site,Source,Latitude,Longitude,Elev,EC,TDS,Sal,pH,Eh,Temp,As,Cd,Co,Cr,Cu,Fe,Hg,Mn,Ni,Pb,Zn
TGW1,groundwater,10.708653,0.81529,217,244.2,122.2,0.11,6.5,22.4,32.1,6,0.7,2.3,3.1,82.4,34,3.6,30.3,1.9,6.1,59.2
TGW2,groundwater,10.70877,0.80895,222,388.6,194.6,0.18,6.9,-6.5,32.3,8.3,1.00E-06,3.2,2.3,59.8,69.2,1.8,44.1,3.5,7,100.1
TGW3,groundwater,10.6741,0.8132,291,450.6,225.5,0.21,6.7,2.1,28.5,3.9,1.5,4.4,1.8,69.2,22.4,1.9,22,2.8,4.8,72.4
TGW4,groundwater,10.68591,0.80667,279,517.7,258.1,0.25,6.8,4.5,28.2,5.1,0.4,5.5,1.5,72.6,21.2,1.00E-06,22.4,5,5.3,97.2
TGW5,groundwater,10.6955,0.80577,250,352.2,175.9,0.17,6.7,7.8,28.7,0.8,3.1,2,9.1,54.2,31.8,2.8,52.9,2.3,7,82.6
TGW6,groundwater,10.70966,0.80603,209,253.1,125.3,0.12,6.6,13.5,28.5,5,1.00E-06,3.1,3.2,97.7,42.3,3.6,40.5,1.2,6.8,61.3
TGW7,groundwater,10.70856,0.79862,200,487.5,243.4,0.23,6.5,14.5,29.5,3.2,2.3,3.5,2.9,70.2,50.7,3.2,24.2,3.4,4.4,64.8
TGW8,groundwater,10.71062,0.78766,185,442.1,220.8,0.21,6.7,10.2,29.9,2.5,1.00E-06,4,1.8,62.4,34.5,3,56.1,4.6,7.2,70.2
TGW9,groundwater,10.69303,0.76163,182,678.9,339,0.33,7.2,-19.1,31,3.2,0.9,1.4,1.2,67.1,49,1.4,21.5,2.2,5.3,89.8
TGW10,groundwater,10.70677,0.77264,200,527.7,263.9,0.25,6.9,-7.1,30.7,9.2,1.2,5.6,2.2,81.4,68.6,2.4,42.5,1.6,7.5,50.6
TGW11,groundwater,10.71173,0.78293,199,395.1,197.2,0.19,6.9,-4.9,28.6,4.5,2.1,2.8,1.6,92.3,64.2,2.7,26.5,1.2,5.2,66.8
TGW12,groundwater,10.71764,0.76237,186,455.3,227.2,0.22,6.7,9.7,28.1,7.6,1.00E-06,4.8,8.1,72.7,22.4,1.00E-06,31.4,1.4,7.3,88.1
TGW13,groundwater,10.7225,0.72023,197,532.5,266.4,0.25,6.8,-2,30.1,5.2,0.9,3,1.5,61.3,72.8,3.9,52.8,2.5,5,62.4
TGW14,groundwater,10.67757,0.70222,173,567.8,283.9,0.27,6.5,21.4,31.2,4.4,2.4,4.9,2.6,52.4,21.3,2.2,34,5.2,7.6,115.7
TGW15,groundwater,10.61943,0.66504,175,692.8,346.5,0.33,6.6,14.7,32.3,9.3,3.2,3.7,1.3,58.5,62.6,3.5,34.8,3.4,4.1,85.1
TGW16,groundwater,10.68907,0.67801,180,725.9,363.3,0.35,7.6,-13.6,33.3,2.1,1.2,3.2,2.3,94.8,48.7,4.4,41.9,2.2,7.5,120.3
TGW17,groundwater,10.72002,0.71483,189,411.8,205.8,0.19,7.4,-38.8,33.1,5.8,0.5,2,3.9,92.9,35.2,1.2,49.1,3.7,8.2,99.5
TGW18,groundwater,10.72554,0.70369,207,157.8,78.71,0.07,7.5,-34.9,33.5,5.2,1.00E-06,3.8,3.1,95,62.6,3,26.4,2.7,7.7,88
TGW19,groundwater,10.72153,0.67544,180,567.2,283.7,0.27,6.8,-5.7,32.2,8.4,3.4,3.8,9.6,72.2,50.2,1,34,5.4,6.7,96.2
TGW20,groundwater,10.71885,0.6541,178,698.9,350.1,0.34,7.4,-38.5,32.7,3.2,2.8,2.1,1.5,54.6,49.9,2.2,51.8,4.5,7.2,80
TGW21,groundwater,10.70899,0.64385,193,501.1,250.5,0.24,7.5,-57.6,32.1,6.6,1.00E-06,3.3,2.5,52.1,23.1,1.4,22.9,1.2,4.9,66
TGW22,groundwater,10.73763,0.64002,218,332,165.9,0.16,7.3,-42.4,32.6,7,1,4.6,1.3,86.5,52.6,2.8,16.2,3.9,6,69.1
TGW23,groundwater,10.7442,0.6382,213,294.1,147,0.14,7.1,-22.5,31.2,3.5,2.9,2.9,3,96,41.4,4.1,27.2,2.5,6.4,83.9
TGW24,groundwater,10.76609,0.63617,233,264.9,132.4,0.12,6.9,-3.4,31,6.6,0.2,2.6,2,78.2,32.9,3.3,34.8,3,5.2,55.8
TGW25,groundwater,10.71095,0.79728,198,140.2,69.9,0.06,6.6,12.3,31.1,5.1,1.00E-06,4.2,1.2,59.5,68.4,1.2,32.7,4.8,8.6,78
TGW26,groundwater,10.72853,0.79747,200,327.8,164.1,0.15,6.8,3,32.7,1.3,2.8,5.4,2.4,68.1,77.4,4.6,56.6,3.9,4.8,60.2
TGW27,groundwater,10.7443,0.79388,204,632.9,316.6,0.3,6.6,15.7,31.9,9.8,3.6,3,7.4,54.6,21.9,1.00E-06,35.7,5.4,7.9,94.2
TGW28,groundwater,10.74245,0.76311,193,557.9,279.7,0.26,6.7,10.7,35.4,1.9,3.6,2.6,1.6,92.9,70.4,2.7,43.9,5.3,6.2,66.8
TGW29,groundwater,10.75361,0.77193,209,391.3,195.5,0.18,7.8,-68.7,33.2,4.2,1.2,4.2,3.5,84.2,56,1.00E-06,30.4,1.1,7,76.8
TGW30,groundwater,10.76731,0.76131,228,175.7,88.19,0.08,8.1,-89.1,35.1,7.9,1.4,3.4,1.2,69.9,42.2,2.2,28.6,2.1,8.2,78.4
TGW31,groundwater,10.76296,0.75342,203,383,191.8,0.18,10.6,-205.7,34.4,2.7,0.9,3.3,3,61.8,36.5,3.2,30.8,3,7,62.5
TGW32,groundwater,10.74957,0.7346,207,325.4,162.8,0.15,6.9,0,35.4,0.8,1.00E-06,2.5,1.2,72.2,24,2.2,52.8,3.7,4.6,132.4
TGW33,groundwater,10.73347,0.7202,203,450.9,225.8,0.21,6.8,0,33.3,1.9,2.5,3.9,3.4,64.3,30.9,3.4,59.1,5.8,5.2,72.6
TGW34,groundwater,10.74483,0.71043,215,370.6,185.2,0.17,7,0,33.1,2.4,3.8,4.2,2.4,57.8,26.5,3.9,41,2.3,6.6,96.8
TGW35,groundwater,10.76349,0.6962,228,195.3,98.04,0.09,7,0,34.6,8,1.00E-06,3,1.2,80.2,66.2,1.1,39.5,5.2,4.3,89.8
TGW36,groundwater,10.80362,0.69529,224,532.1,266.6,0.25,6.9,0,32.8,9.4,1.1,2.4,1.00E-06,70.2,48.9,1.2,30.7,2,7.4,64
TGW37,groundwater,10.82173,0.6884,230,425.5,212.8,0.2,7,0,33.6,5.2,0.7,4.8,3,69.7,42.4,3.9,28.9,4.9,7.2,92.4
TGW38,groundwater,10.83982,0.67855,249,545.7,273.3,0.26,6.9,0,32.4,6.2,2.1,5.6,9.7,79.8,32.1,2.3,44.6,1.2,8.7,71.9
TGW39,groundwater,10.80798,0.74202,240,543,271.6,0.26,6.6,17.3,30.2,8.4,2.1,3.5,1.6,92.3,76.6,1.1,52.4,4.6,8.1,52.5
TGW40,groundwater,10.79285,0.73634,229,694.5,347.6,0.33,6.8,2.7,30.8,7,1.00E-06,3.7,2.4,52.3,72.4,2.5,22.3,3.5,5.2,113.4
TGW41,groundwater,10.78502,0.74302,228,757.7,379.6,0.37,6.6,14.9,31.3,2.4,2.8,2.6,1.8,57.2,51.9,1,18.2,2.1,6.1,90
TGW42,groundwater,10.79933,0.71456,275,382,191,0.18,6.9,-6.8,32.6,6.7,0.3,1.7,1.9,62.3,52.5,1.00E-06,34.4,1.4,5.5,100
