,As,Cd,Co,Cr,Cu,Fe,Hg,Mn,Ni,Pb,Zn,EC,TDS,pH,Eh
As,1,-0.06,0.03,0.07,0.04,0.11,-0.11,-0.15,0.01,0.11,0.08,0.20,0.20,-0.16,0.10
Cd,-0.06,1,0.08,0.02,0.14,-0.08,0.15,0.06,0.04,0.12,0.01,0.42,0.42,-0.33,0.29
Co,0.03,0.08,1,-0.25,0.11,0.02,-0.01,0.03,0.17,0.24,-0.01,0.11,0.10,-0.16,0.17
Cr,0.07,0.02,-0.25,1,-0.11,-0.26,0.09,0.04,-0.10,0.05,-0.01,-0.02,-0.02,0.09,-0.15
Cu,0.04,0.14,0.11,-0.11,1,0.15,0.12,-0.11,-0.14,0.28,-0.06,0.06,0.05,-0.10,0.09
Fe,0.11,-0.08,0.02,-0.26,0.15,1,0.05,-0.01,0.08,-0.03,-0.11,-0.06,-0.06,0.01,0.01
Hg,-0.11,0.15,-0.01,0.09,0.12,0.05,1,0.16,0.11,-0.20,-0.10,0.09,0.09,-0.06,0.08
Mn,-0.15,0.06,0.03,0.04,-0.11,-0.01,0.16,1,0.09,0.01,-0.13,0.03,0.03,-0.09,0.11
Ni,0.01,0.04,0.17,-0.10,-0.14,0.08,0.11,0.09,1,-0.03,0.19,0.13,0.13,-0.22,0.27
Pb,0.11,0.12,0.24,0.05,0.28,-0.03,-0.20,0.01,-0.03,1,0.06,0.11,0.11,0.06,-0.04
Zn,0.08,0.01,-0.01,-0.01,-0.06,-0.11,-0.10,-0.13,0.19,0.06,1,0.19,0.19,-0.05,0.11
EC,0.20,0.42,0.11,-0.02,0.06,-0.06,0.09,0.03,0.13,0.11,0.19,1,1.00,-0.37,0.29
TDS,0.20,0.42,0.10,-0.02,0.05,-0.06,0.09,0.03,0.13,0.11,0.19,1.00,1,-0.36,0.29
pH,-0.16,-0.33,-0.16,0.09,-0.10,0.01,-0.06,-0.09,-0.22,0.06,-0.05,-0.37,-0.36,1,-0.94
Eh,0.10,0.29,0.17,-0.15,0.09,0.01,0.08,0.11,0.27,-0.04,0.11,0.29,0.29,-0.94,1
