Metric,Adults 3%,Children 3%,Pregnant 3%,Teens 3%,Adults Median,Children Median,Pregnant Median,Teens Median,Adults 94%,Children 94%,Pregnant 94%,Teens 94%,Adults P(>thr),Children P(>thr),Pregnant P(>thr),Teens P(>thr)
BLL,0.10557645512933093,0.1305065975260619,0.11704729346195732,0.10530508699045672,2.040243760399229,2.102385154738723,2.0092086277327823,2.016624904923065,5.751061447687927,5.64846185431432,5.580211081600876,5.715948581383797,0.250125,0.248,0.242,0.241125
CR_by_m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005924233060863978,0.004646492061378017,0.00022896218359406146,0.0036349544761108275,0.125,0.125,0.125,0.125
CR_total,0.008130448051441879,0.00638927437413379,0.0003174354179239852,0.005032592101734002,0.0119780765485774,0.009477232482755543,0.00046581414762254596,0.007396761610708792,0.01655393883729388,0.013050390875315801,0.0006397638337497267,0.010199776198038458,1.0,1.0,1.0,1.0
HI_cardiovascular,0.0007141938143448697,0.002806229255317173,0.0008365236841839855,0.00102016692535693,0.0010521767219490701,0.0041624894307589365,0.0012275396660606608,0.0014994125089921307,0.0014541290524009828,0.005731854123513126,0.0016859416719030027,0.0020676172661989512,0.0,0.0,0.0,0.0
HI_derm,0.0008428964683614904,0.003311931132992642,0.0009872710249475003,0.001204008045507001,0.001241786228345555,0.004912598751638769,0.001448750785170682,0.001769616990600567,0.001716173142629282,0.006764773792257311,0.001989759995910997,0.0024402161662531274,0.0,0.0,0.0,0.0
HI_endocrine,0.0006881315676533296,0.0027038247851913963,0.0008059973954054726,0.0009829391567300176,0.0010137808569335115,0.004010592530762846,0.0011827444844755741,0.0014446961870122482,0.0014010652070920258,0.005522688217611304,0.0016244185574792386,0.0019921661069015333,0.0,0.0,0.0,0.0
HI_gi,0.00030089313968416364,0.001182277295527241,0.00035243127663486085,0.0004298010190051312,0.0004432868935728009,0.0017536759470145923,0.0005171681086970131,0.0006317093881948605,0.000612631259603169,0.002414856512048525,0.0007102949826702132,0.0008710966664734716,0.0,0.0,0.0,0.0
HI_hemato,4.5959891013976656e-05,0.00018058682131392867,5.3832078328728204e-05,6.564991149983201e-05,6.770980999405775e-05,0.0002678650483132466,7.899478843741193e-05,9.649038414241291e-05,9.357629739472186e-05,0.00036885700426616717,0.00010849393251558925,0.0001330555688168328,0.0,0.0,0.0,0.0
HI_hepato,0.0019320814237066368,0.007591585513568045,0.002263015778406154,0.0027598188698540888,0.002846413757866432,0.011260624698803543,0.0033208164758951565,0.004056303760841816,0.003933800144143259,0.015506167447830043,0.004560914026852352,0.005593446528268422,0.0,0.0,0.0,0.0
HI_nephro,0.001122353859831556,0.004409982518774089,0.001314594955776312,0.0016031898671611138,0.0016534931854425348,0.006541342119303817,0.0019290756299301152,0.002356323148066934,0.0022851603050532206,0.009007594955743943,0.0026494532785150747,0.003249255556072616,0.0,0.0,0.0,0.0
HI_neuro,0.00017474539879270304,0.0006866142501863745,0.0002046764643661349,0.0002496093814116117,0.0002574413796149255,0.0010184572603945102,0.0003003483146607743,0.0003668688128851186,0.00035578908141476026,0.0014024416265123803,0.0004125078429420072,0.000505894333548717,0.0,0.0,0.0,0.0
HI_overall,0.001932081438726489,0.007591585572584446,0.0022630157959986643,0.0027598188913087076,0.002846413779994233,0.011260624786342769,0.003320816501710928,0.004056303792375208,0.003933800174724318,0.015506167568373794,0.004560914062308545,0.005593446571751443,0.0,0.0,0.0,0.0
HI_systemic,0.0006834971421893458,0.0026856150778858984,0.0008005691676816523,0.0009763192624080196,0.0010069532500642407,0.003983582009775393,0.0011747789421085349,0.0014349664534677718,0.0013916293192797694,0.005485494041223461,0.0016134784305023263,0.0019787492753415535,0.0,0.0,0.0,0.0
HQ_der_mjg,0.0,0.0,0.0,0.0,3.162180675671416e-05,0.00012450021502441905,3.668853248649354e-05,4.4938956119325927e-05,0.0012035608189718615,0.004738730299442286,0.0013964462607144745,0.001710001371694681,0.0,0.0,0.0,0.0
HQ_ing_mjg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001468759734327275,0.00034850488955698604,0.0001538647605675349,0.0001530279957028761,0.0,0.0,0.0,0.0
HQ_mjg,0.0,0.0,0.0,0.0,3.89015069290931e-05,0.0001540044118322989,4.533998893988171e-05,5.5389789974187933e-05,0.0012201284791432858,0.004746066265663536,0.0014107041779448338,0.0017168393737311354,0.0,0.0,0.0,0.0
