,BW_Adults,IR_Adults,EF_Adults,ED_Adults,AT_nc_Adults,AT_ca_Adults,SA_Adults,AF_Adults,ET_Adults,BW_Children,IR_Children,EF_Children,ED_Children,AT_nc_Children,AT_ca_Children,SA_Children,AF_Children,ET_Children,BW_Teens,IR_Teens,EF_Teens,ED_Teens,AT_nc_Teens,AT_ca_Teens,SA_Teens,AF_Teens,ET_Teens,BW_Pregnant,IR_Pregnant,EF_Pregnant,ED_Pregnant,AT_nc_Pregnant,AT_ca_Pregnant,SA_Pregnant,AF_Pregnant,ET_Pregnant,C_As,C_Cd,C_Co,C_Cu,C_Fe,C_Hg,C_Mn,C_Ni,C_Pb,C_Zn,Kp_As,Kp_Cd,Kp_Co,Kp_Cu,Kp_Fe,Kp_Hg,Kp_Mn,Kp_Ni,Kp_Pb,Kp_Zn
BW_Adults,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.469446951953614e-18,0.0,0.0,0.0,-3.469446951953614e-18,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,-3.469446951953614e-18,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,-1.0842021724855044e-18,0.0,-1.734723475976807e-18,-1.734723475976807e-18,3.2526065174565133e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR_Adults,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.469446951953614e-18,0.0,0.0,0.0,-3.469446951953614e-18,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,-3.469446951953614e-18,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,-1.0842021724855044e-18,0.0,-1.734723475976807e-18,-1.734723475976807e-18,3.2526065174565133e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EF_Adults,,,,0.0,0.0,0.0,0.0,0.0,0.0,-3.469446951953614e-18,0.0,0.0,0.0,-3.469446951953614e-18,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,-3.469446951953614e-18,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,-1.0842021724855044e-18,0.0,-1.734723475976807e-18,-1.734723475976807e-18,3.2526065174565133e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ED_Adults,,,,,0.0,0.0,0.0,0.0,0.0,-3.469446951953614e-18,0.0,0.0,0.0,-3.469446951953614e-18,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,-3.469446951953614e-18,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,-1.0842021724855044e-18,0.0,-1.734723475976807e-18,-1.734723475976807e-18,3.2526065174565133e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT_nc_Adults,,,,,,0.0,0.0,0.0,0.0,-3.469446951953614e-18,0.0,0.0,0.0,-3.469446951953614e-18,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,-3.469446951953614e-18,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,-1.0842021724855044e-18,0.0,-1.734723475976807e-18,-1.734723475976807e-18,3.2526065174565133e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT_ca_Adults,,,,,,,0.0,0.0,0.0,-3.469446951953614e-18,0.0,0.0,0.0,-3.469446951953614e-18,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,-3.469446951953614e-18,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,-1.0842021724855044e-18,0.0,-1.734723475976807e-18,-1.734723475976807e-18,3.2526065174565133e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA_Adults,,,,,,,,0.0,0.0,-3.469446951953614e-18,0.0,0.0,0.0,-3.469446951953614e-18,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,-3.469446951953614e-18,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,-1.0842021724855044e-18,0.0,-1.734723475976807e-18,-1.734723475976807e-18,3.2526065174565133e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF_Adults,,,,,,,,,0.0,-3.469446951953614e-18,0.0,0.0,0.0,-3.469446951953614e-18,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,-3.469446951953614e-18,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,-1.0842021724855044e-18,0.0,-1.734723475976807e-18,-1.734723475976807e-18,3.2526065174565133e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ET_Adults,,,,,,,,,,-3.469446951953614e-18,0.0,0.0,0.0,-3.469446951953614e-18,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,-3.469446951953614e-18,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,-1.0842021724855044e-18,0.0,-1.734723475976807e-18,-1.734723475976807e-18,3.2526065174565133e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_Children,,,,,,,,,,,-0.01035369587517497,-0.011015582528468442,-0.009823339335654463,-0.006220124360513474,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.009837719962610347,-0.006902050059032161,-0.010418756831867338,-0.01125054953682885,-0.010824712657702074,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.010090703650921533,-0.009440266123305056,-0.011477668695880804,-0.010398883585322921,-0.0108014317918682,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.0028507326590129223,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942,-0.011265519352271942
