parameter,S1,S1_conf,ST,ST_conf
BW_Adults,0.0,0.0,0.0,0.0
IR_Adults,0.0,0.0,0.0,0.0
EF_Adults,0.0,0.0,0.0,0.0
ED_Adults,0.0,0.0,0.0,0.0
AT_nc_Adults,0.0,0.0,0.0,0.0
AT_ca_Adults,0.0,0.0,0.0,0.0
SA_Adults,0.0,0.0,0.0,0.0
AF_Adults,0.0,0.0,0.0,0.0
ET_Adults,0.0,0.0,0.0,0.0
BW_Children,0.01613342375297985,0.013683524532280583,0.023616331075558546,0.0059409037045044365
IR_Children,0.030240985988138836,0.020092172456058533,0.06294947836535737,0.013393389039543818
EF_Children,0.0042029133730166,0.009165683450878271,0.011375807184242638,0.0024297859610354403
ED_Children,0.016021930938898376,0.017469725447486522,0.0416389961380991,0.010478345966540318
AT_nc_Children,0.02808317301638367,0.01961925091935432,0.05603786640343475,0.018560358586922072
AT_ca_Children,0.0,0.0,0.0,0.0
SA_Children,0.0,0.0,0.0,0.0
AF_Children,0.0,0.0,0.0,0.0
ET_Children,0.0,0.0,0.0,0.0
BW_Teens,0.04578783471310195,0.022030990543028477,0.050384090815193565,0.009296997111108464
IR_Teens,0.07347566553382334,0.029575544030536846,0.14214197780623383,0.02645132299871366
EF_Teens,0.011842713202897768,0.013332051520641751,0.026882547840073108,0.005893135770624787
ED_Teens,0.053957115076161515,0.022003613665343615,0.08851270886511914,0.015044207211002176
AT_nc_Teens,0.05674842752369934,0.027714080361916197,0.10988081281433101,0.021621899756606906
AT_ca_Teens,0.0,0.0,0.0,0.0
SA_Teens,0.0,0.0,0.0,0.0
AF_Teens,0.0,0.0,0.0,0.0
ET_Teens,0.0,0.0,0.0,0.0
BW_Pregnant,0.001028659802823897,0.006420796795680157,0.007839855590935063,0.0019057132129275914
IR_Pregnant,0.015423027245265623,0.017290144197649078,0.02469096527094484,0.005345670716875029
EF_Pregnant,0.005031360669270283,0.006342979434952428,0.0046206216460367945,0.0014776529913053686
ED_Pregnant,0.008631220935229281,0.008063988103827972,0.013267211104893277,0.002922337582447284
AT_nc_Pregnant,0.0005389462866005872,0.005337692412958367,0.005343946046596502,0.0015816190645135723
AT_ca_Pregnant,0.0,0.0,0.0,0.0
SA_Pregnant,0.0,0.0,0.0,0.0
AF_Pregnant,0.0,0.0,0.0,0.0
ET_Pregnant,0.0,0.0,0.0,0.0
C_As,0.0,0.0,0.0,0.0
C_Cd,0.0,0.0,0.0,0.0
C_Co,0.0,0.0,0.0,0.0
C_Cu,0.0,0.0,0.0,0.0
C_Fe,0.0,0.0,0.0,0.0
C_Hg,0.0,0.0,0.0,0.0
C_Mn,0.0,0.0,0.0,0.0
C_Ni,0.0,0.0,0.0,0.0
C_Pb,0.42793610570376595,0.06641009889909902,0.5710850498836947,0.06803441661828233
C_Zn,0.0,0.0,0.0,0.0
Kp_As,0.0,0.0,0.0,0.0
Kp_Cd,0.0,0.0,0.0,0.0
Kp_Co,0.0,0.0,0.0,0.0
Kp_Cu,0.0,0.0,0.0,0.0
Kp_Fe,0.0,0.0,0.0,0.0
Kp_Hg,0.0,0.0,0.0,0.0
Kp_Mn,0.0,0.0,0.0,0.0
Kp_Ni,0.0,0.0,0.0,0.0
Kp_Pb,0.0,0.0,0.0,0.0
Kp_Zn,0.0,0.0,0.0,0.0
