parameter,S1,S1_conf,ST,ST_conf
BW_Adults,0.00759893853201003,0.008322765939908472,0.009682736427002308,0.003139461592513288
IR_Adults,0.023126137675289513,0.014353746955586564,0.029710611213377643,0.0065356687522097985
EF_Adults,-0.005972075159108706,0.0060957049796334945,0.005409405220775834,0.0016428564972646405
ED_Adults,0.008411974488782809,0.008898627479517704,0.016477631810515054,0.004823297429652123
AT_nc_Adults,0.010481543126438243,0.012417909134199349,0.020466738186866763,0.0044379304697804425
AT_ca_Adults,0.0,0.0,0.0,0.0
SA_Adults,0.0,0.0,0.0,0.0
AF_Adults,0.0,0.0,0.0,0.0
ET_Adults,0.0,0.0,0.0,0.0
BW_Children,0.004604220922433154,0.016062246104434092,0.053075058062607226,0.012376647207227174
IR_Children,0.08570637357131505,0.023247119323986473,0.1541552966957419,0.030488223224346914
EF_Children,0.001215422697293642,0.013530563603320903,0.029233999374231722,0.008026251028064129
ED_Children,0.037717780238467946,0.02016268145044202,0.0908461235131492,0.016639363902442625
AT_nc_Children,0.06967390387365456,0.029231344809753382,0.12038739200073513,0.031268280510032026
AT_ca_Children,0.0,0.0,0.0,0.0
SA_Children,0.0,0.0,0.0,0.0
AF_Children,0.0,0.0,0.0,0.0
ET_Children,0.0,0.0,0.0,0.0
BW_Teens,0.0022631431576473587,0.009142461158229111,0.010573940229400938,0.0027383278130703424
IR_Teens,0.010451337697601235,0.01390184550321011,0.03092343951148908,0.007080362299032353
EF_Teens,-0.0001452569072064629,0.005491561786334646,0.0058550259454084085,0.0016157391139102826
ED_Teens,0.009512658159687439,0.012969319254435145,0.020972310462344733,0.005068834038156156
AT_nc_Teens,0.014212805749149297,0.0116711100165729,0.023296968687740813,0.005289972006489258
AT_ca_Teens,0.0,0.0,0.0,0.0
SA_Teens,0.0,0.0,0.0,0.0
AF_Teens,0.0,0.0,0.0,0.0
ET_Teens,0.0,0.0,0.0,0.0
BW_Pregnant,0.0024910546157686326,0.0052307243360050805,0.005254668890348174,0.0011168786370183783
IR_Pregnant,0.008671819653476898,0.009867374140972532,0.015925278863715392,0.004226387004667632
EF_Pregnant,0.0036687143963357077,0.0037968565363519615,0.002881188084738498,0.0009213967515813745
ED_Pregnant,0.008183151666059625,0.0074649636686887995,0.007408201119440995,0.0012983114677880812
AT_nc_Pregnant,-0.002998544460585815,0.004154403806194826,0.003112281951368578,0.00073443976073462
AT_ca_Pregnant,0.0,0.0,0.0,0.0
SA_Pregnant,0.0,0.0,0.0,0.0
AF_Pregnant,0.0,0.0,0.0,0.0
ET_Pregnant,0.0,0.0,0.0,0.0
C_As,0.48199579821817146,0.06790392162586673,0.5796641529182751,0.08378787674931995
C_Cd,-3.0483130599013445e-05,6.287814948245094e-05,5.949415220187917e-07,6.80670051811652e-07
C_Co,-0.0001489382981132165,0.0014199303570346712,0.0002727845525067042,4.6270002109465044e-05
C_Cu,0.0005583963460524587,0.0015953799019003457,0.00041700504604514586,7.65178277575308e-05
C_Fe,0.0,0.0,0.0,0.0
C_Hg,9.896730992847056e-05,0.00010448474709221746,2.565610577952911e-06,2.443745495538896e-06
C_Mn,0.0,0.0,0.0,0.0
C_Ni,0.0,0.0,0.0,0.0
C_Pb,-0.0004959014250781954,0.0006609384773134528,3.91661794735069e-05,8.290764081838507e-06
C_Zn,0.0,0.0,0.0,0.0
Kp_As,0.0,0.0,0.0,0.0
Kp_Cd,0.0,0.0,0.0,0.0
Kp_Co,0.0,0.0,0.0,0.0
Kp_Cu,0.0,0.0,0.0,0.0
Kp_Fe,0.0,0.0,0.0,0.0
Kp_Hg,0.0,0.0,0.0,0.0
Kp_Mn,0.0,0.0,0.0,0.0
Kp_Ni,0.0,0.0,0.0,0.0
Kp_Pb,0.0,0.0,0.0,0.0
Kp_Zn,0.0,0.0,0.0,0.0
